FRBname  Tel       GL        GB         BW        DM          DME_NE2001    DME_YMW16    SN    W      Weu    Wel     S       Seu    Sel     F       Feu    Fel     SEFD     Npol  SIG    a      b                     C   Ref
010125	 PKS1      356.641   -20.020    288       790         680           714.09       17    9.40   +0.20  -0.20   0.30    0.0    0.00    2.82    0.00   0.00    40.58     2     6     7.5    7.5                   1   Burke-Spolaor_2014
010621	 PKS1      25.433    -4.003     288       745         222           423.44       17    7.00   0.00   0.00    0.41    0.00   0.00    2.87    0.00   0.00    48.19     2     7     7.5    7.5                   2   Keane_2012
010724	 PKS1      300.653   -41.805    288       375         330.42        280.97       23    5.00   0.00   0.00    30.00   +10.0  -10.0   150.0   0.00   0.00    40.58     2     7     7.5    7.5                   3   Lorimer_2007
090625	 PKS2      226.443   -60.030    338.281   899.55      867.86        874.07       30    1.92   +0.83  -0.77   1.14    +0.42  -0.21   2.19    +2.10  -1.12   40.58     2     10    7.5    7.5                   4   Champion_2016
110220	 PKS2      50.828    -54.766    338.281   944.38      909.61        920.26       49    5.60   +0.10  -0.10   1.30    0.00   0.00    7.28    +0.13  -0.13   40.58     2     9     7.5    7.5                   5   Thornton_2013
110523	 GBT       56.119    -37.819    200       623.30      579.78        590.3        42    1.73   +0.17  -0.17   0.60    0.00   0.00    1.04    0.00   0.00    12.50     2     8     8      8                     6   Masui_2015
110626	 PKS2      355.861   -41.752    338.281   723.0       675.54        689.43       11    1.40   0.00   0.00    0.40    0.00   0.00    0.56    0.00   0.00    48.19     2     9     7.5    7.5                   5   Thornton_2013
110703	 PKS2      80.997    -59.019    338.281   1103.6      1061.27       1080.52      16    4.30   0.00   0.00    0.50    0.00   0.00    2.15    0.00   0.00    40.58     2     9     7.5    7.5                   5   Thornton_2013
120127	 PKS2      49.287    -66.203    338.281   553.3       521.48        532.67       11    1.10   0.00   0.00    0.50    0.00   0.00    0.55    0.00   0.00    40.58     2     9     7.5    7.5                   5   Thornton_2013
121002	 PKS2      308.219   -26.264    338.281   1629.18     1554.91       1568.68      16    5.44   +3.50  -1.20   0.43    +0.33  -0.06   2.34    +4.46  -0.77   48.19     2     10    7.5    7.5                   4   Champion_2016
121102	 Arecibo   174.950   -0.225     322.6     557         369           269.88       14    3.00   +0.50  -0.50   0.40    +0.40  -0.10   1.20    +1.60  -0.45   42.86     2     7     1.75   1.75                  7   Spitler_2014
130626	 PKS2      7.450     27.420     338.281   952.4       885.53        887.31       21    1.98   +1.20  -0.44   0.74    +0.9   -0.11   1.47    +2.45  -0.50   38.10     2     10    7.5    7.5                   4   Champion_2016
130628	 PKS2      225.955   30.655     338.281   469.88      417.3         422.89       29    0.64   +0.13  -0.13   1.91    +0.29  -0.23   1.22    +0.47  -0.37   40.58     2     10    7.5    7.5                   4   Champion_2016
130729	 PKS2      324.787   54.744     338.281   861         830           835.58       14    15.61  +9.98  -6.27   0.22    +0.17  -0.05   3.43    +6.55  -1.81   48.19     2     10    7.5    7.5                   4   Champion_2016
131104	 PKS2      260.549   -21.925    338.281   779         707.9         558.8        30    2.08   0.00   0.00    1.12    0.00   0.00    2.33    0.00   0.00    40.58     2     10    7.5    7.5                   8   Ravi_2015
140514	 PKS2      50.841    -54.611    338.281   562.7       527.8         538.53       16    2.80   +3.50  -0.70   0.47    +0.11  -0.08   1.32    +2.34  -0.50   38.10     2     10    7.5    7.5                   9   Petroff_2015
150215	 PKS2      24.662    5.280	    338.281   1105.6      678.4         812.77       19    2.80   +1.20  -0.50   0.70    +0.28  -0.01   1.96    +1.96  -0.37   48.19     2     10    7.5    7.5                   10  Petroff_2017
150418	 PKS2      232.665   -3.234     338.281   776.2       587.7         450.66       39    0.80   +0.30  -0.30   2.20    +0.60  -0.30   1.76    +1.32  -0.81   40.58     2     10    7.5    7.5                   11  Keane_2016
