#DMe S logL Z DMi DMh DMs dnu thres
5.064925420635105979e+02 1.715195276909367239e+00 4.322201751781632595e+01 4.632371010423316227e-01 4.038554349825443524e+02 1.156031449533722224e+02 3.457927807115221697e+01 1.000000000000000000e+03 1.000000000000000000e+00
2.955719364775114855e+02 2.202702100375959926e+00 4.305663735485710220e+01 3.213809699239815743e-01 2.753936554563953791e+02 8.705914243502460792e+00 1.795728230357864774e+01 1.000000000000000000e+03 1.000000000000000000e+00
4.044815346406587651e+02 1.081900683470383040e+00 4.286390171084055112e+01 3.903563480298570809e-01 3.375613851748177581e+02 5.809949454724557683e+01 3.494336007369327746e+01 1.000000000000000000e+03 1.000000000000000000e+00
2.885805240924050281e+02 5.427075106973139995e+00 4.271476782932865746e+01 1.480690007845864020e-01 1.231530368334346406e+02 1.750715671738860806e+02 1.485060282582493763e+01 1.000000000000000000e+03 1.000000000000000000e+00
2.912555501860890104e+02 8.232719769441926516e+00 4.219370217056668082e+01 6.124294766784166288e-02 4.996279654979857554e+01 2.329670134414136555e+02 2.310321967845349533e+01 1.000000000000000000e+03 1.000000000000000000e+00
9.715865308221225405e+02 4.856918133381007863e+00 4.312121020682567973e+01 2.335588814606385233e-01 1.974025026637063718e+02 9.185942043298587123e+02 3.640737948992861561e+01 1.000000000000000000e+03 1.000000000000000000e+00
3.699031222938697852e+02 1.135853126981150707e+00 4.289134165506359153e+01 3.615679200476915600e-01 3.115372659246282296e+02 6.218778353372993450e+01 1.728129412474059379e+01 1.000000000000000000e+03 1.000000000000000000e+00
7.329006029732831848e+02 3.009055945753835282e+00 4.311802466602125605e+01 2.771252447831320520e-01 2.359070571325910066e+02 6.021966055092335637e+02 3.252639837819724278e+01 1.000000000000000000e+03 1.000000000000000000e+00
7.629230072357000836e+02 2.393016526458744409e+00 4.255697304186945473e+01 2.188853500965045606e-01 1.845276658329821373e+02 6.620037871462913017e+02 4.299382105354772676e+01 1.000000000000000000e+03 1.000000000000000000e+00
3.986498600092050992e+02 2.706423310357200407e+00 4.311859236602750656e+01 3.593809346139964500e-01 3.095650623109299318e+02 8.989148110703214911e+01 3.120869444794797687e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.535486661924801865e+03 5.697630666106630493e+00 4.327112363548598495e+01 2.314343866336153743e-01 1.955330670925783352e+02 1.629216068718149927e+03 2.084886445157724921e+01 1.000000000000000000e+03 1.000000000000000000e+00
7.256340830447543340e+02 1.544522925056045937e+00 4.241199952316600985e+01 2.271787856156770591e-01 1.917953064709542730e+02 6.073571827082793106e+02 4.775843884211536761e+01 1.000000000000000000e+03 1.000000000000000000e+00
7.411001814102027083e+02 2.453437554373592455e+00 4.281358743582585902e+01 2.509980587871565305e-01 2.127683223557284009e+02 6.503461164393332865e+02 1.059601363322363810e+01 1.000000000000000000e+03 1.000000000000000000e+00
2.015850177211823393e+02 1.719787990558230106e+01 4.300537836153729643e+01 1.235513601921786053e-01 1.022331537323446611e+02 1.084825570444506155e+02 3.144364877836280936e+00 1.000000000000000000e+03 1.000000000000000000e+00
3.280157948273713373e+02 2.590479000262187359e+00 4.296879884432979679e+01 2.409358142745731124e-01 2.038937872894802865e+02 1.198687741621941143e+02 3.415867033123343077e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.933060722123506139e+02 2.162731647533024937e+00 4.250801524905504891e+01 1.790378886146939408e-01 1.498285194265806695e+02 4.077494744636250168e+00 4.718418729403186518e+01 1.000000000000000000e+03 1.000000000000000000e+00
4.664482113643789489e+02 4.128173906347973876e+00 4.295132020854893540e+01 2.476019080434532782e-01 2.097674110604570785e+02 2.726186959298365764e+02 4.761676028745689848e+01 1.000000000000000000e+03 1.000000000000000000e+00
3.273561156218058272e+02 2.088116831299513976e+00 4.284428299636658721e+01 3.055797262206556564e-01 2.612563964646283807e+02 8.007282273120438276e+01 6.225630509285551284e+00 1.000000000000000000e+03 1.000000000000000000e+00
1.897424464884752524e+02 4.455474332190316744e+00 4.284916592067904872e+01 2.018923528179737970e-01 1.696789391549326922e+02 2.110711327151691563e+01 3.007062763375217607e+00 1.000000000000000000e+03 1.000000000000000000e+00
5.709285312170127327e+02 4.342932972599307995e+00 4.317356583119588720e+01 2.387542514412354100e-01 2.019741350929122063e+02 4.478335375935989191e+02 9.210289193064207680e+00 1.000000000000000000e+03 1.000000000000000000e+00
