#DMe S logL Z DMi DMh DMs dnu thres
2.139248558079783379e+03 1.322239092461353405e+00 4.421434140337311902e+01 1.126567583103682324e+00 1.009001527609429445e+03 2.361400154463648050e+03 4.214654143380616347e+01 1.000000000000000000e+03 1.000000000000000000e+00
6.615285460432040736e+02 4.487198707637808148e+00 4.405714988419581601e+01 6.882436604410220315e-01 6.104104237741327097e+02 4.334634034367201849e+01 4.295350551073669010e+01 1.000000000000000000e+03 1.000000000000000000e+00
8.684374799187704639e+02 3.889277572914827896e+00 4.439765217498342054e+01 9.389493349625810392e-01 8.398539750990923949e+02 3.398503525530689018e+01 2.143693240570767600e+01 1.000000000000000000e+03 1.000000000000000000e+00
4.700110625587971640e+02 8.908284464332821173e+00 4.411593374016221247e+01 5.129541592048543208e-01 4.493363645740717516e+02 5.794520547092778529e+00 2.548534975920173551e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.005764496727695018e+03 3.307514209072059508e+00 4.443155738213732775e+01 9.797295825713252526e-01 8.768807422227091593e+02 2.358139987872588392e+02 1.934098271912201383e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.228511140457886768e+03 3.184585440100605069e+00 4.466184567063783106e+01 1.354898621691896565e+00 1.210446391861017446e+03 2.249163350628129976e+01 2.004901806569685618e+01 1.000000000000000000e+03 1.000000000000000000e+00
5.869198526334818098e+02 2.949948590067420273e+00 4.396860657397370176e+01 6.446921667150432578e-01 5.703525134527480986e+02 1.492236405788078990e+01 1.232580891598324868e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.069385283645071468e+03 1.435361792219386645e+00 4.429563580136238699e+01 1.160562065810602839e+00 1.039264208369820153e+03 5.593883773014791672e+01 9.139614890985919615e+00 1.000000000000000000e+03 1.000000000000000000e+00
1.422740647085123555e+03 2.159108530259036041e+00 4.459241635983295993e+01 1.585759499640371217e+00 1.408829690834067151e+03 2.170001303440871965e+01 1.427037424084204353e+01 1.000000000000000000e+03 1.000000000000000000e+00
3.196888240561460179e+02 6.684944994319575784e+00 4.343063909561593761e+01 2.618281472982889602e-01 2.223380197556754752e+02 7.573814293602207215e+01 4.710184209243902842e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.259369118232606979e+03 4.165105354483586808e+01 4.386349884629793650e+01 2.237349444805811771e-01 1.887774256751992823e+02 1.262331468699053630e+03 4.778899675405713765e+01 1.000000000000000000e+03 1.000000000000000000e+00
5.148944651483013786e+02 9.600733262835428050e+00 4.428961799977734159e+01 5.270751066955298159e-01 4.622748508322912357e+02 6.846840844778486712e+01 1.188569469811386270e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.594917429672166691e+03 1.411885412714415589e+00 4.453060461153909699e+01 1.443073577873631663e+00 1.286820044666997546e+03 7.051899362116687371e+02 4.751464450641945803e+01 1.000000000000000000e+03 1.000000000000000000e+00
7.239180505358631308e+02 1.427851170687665316e+00 4.372299496635953631e+01 7.369963837184585476e-01 6.552230857438702287e+02 9.906304307675890186e+01 2.025986234659960417e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.489557688609871093e+03 1.351845410808162340e+00 4.446371878784012921e+01 1.362432933740599150e+00 1.217025589195465955e+03 6.038181317009015174e+02 4.002067545715634367e+01 1.000000000000000000e+03 1.000000000000000000e+00
4.312487921180474473e+02 3.274041733470784976e+01 4.397474761003303456e+01 2.686018337706110870e-01 2.283440337033592868e+02 2.496401145800556094e+02 7.765234025600598500e+00 1.000000000000000000e+03 1.000000000000000000e+00
1.178889010090740385e+03 2.317065777069415411e+00 4.451114588935963923e+01 1.284540668826535725e+00 1.148974288736290873e+03 6.364217203044529469e+01 4.699225500408038769e+00 1.000000000000000000e+03 1.000000000000000000e+00
1.307919683523190770e+03 3.005067396531883261e+00 4.446057005822370201e+01 1.240873868085162091e+00 1.110450606021687236e+03 4.413579922676300953e+02 1.145303260372798615e+00 1.000000000000000000e+03 1.000000000000000000e+00
9.820465568273160670e+02 3.012817446214134876e+01 4.410136934988490509e+01 3.085474734518746098e-01 2.639116185482553192e+02 8.944973064335456456e+02 4.521635264903721207e+01 1.000000000000000000e+03 1.000000000000000000e+00
8.985545703929740284e+02 2.972367852143272593e+00 4.419251111907995977e+01 9.773884593396978682e-01 8.747661437196607039e+02 1.711313576520587887e+01 2.992582460445247960e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.292352309422163898e+03 1.098042235337863826e+00 4.428820640835662914e+01 1.329736115585832934e+00 1.188473703176113986e+03 1.940303864749297418e+02 4.797935413321300047e+01 1.000000000000000000e+03 1.000000000000000000e+00
8.120700729923195240e+02 5.328568720189232444e+00 4.454108508603106742e+01 8.687509216960090930e-01 7.759194447056788704e+02 3.015129098984473188e+01 3.740522894070490878e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.154820364288929113e+03 1.396249251728666652e+00 4.432901555899641011e+01 1.260478267712314526e+00 1.127745980498964855e+03 3.957677028710976685e+01 2.162428588180678801e+01 1.000000000000000000e+03 1.000000000000000000e+00
9.248044954061343788e+02 2.746589625291705250e+00 4.428517622683010302e+01 8.345401566978516428e-01 7.446559810724920681e+02 3.028144863322296487e+02 2.767519738229572468e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.083653939987205604e+03 2.668098251644021257e+00 4.445597422968477730e+01 1.191048459535053006e+00 1.066403906560632095e+03 3.045555077405674993e+01 7.340108392165206830e+00 1.000000000000000000e+03 1.000000000000000000e+00
1.018882181723259578e+03 1.473888920403439995e+00 4.399148622121383312e+01 1.030353623827579446e+00 9.226064521778943117e+02 1.936323824536343068e+02 1.841393915442063323e+00 1.000000000000000000e+03 1.000000000000000000e+00
