#DMe S logL Z DMi DMh DMs dnu thres
2.302162342279651739e+02 2.826683143651742558e+00 4.261765280833858327e+01 1.979016519509745331e-01 1.662017310476316538e+02 3.948211446562624616e+01 3.720096464291620464e+01 1.000000000000000000e+03 1.000000000000000000e+00
4.469538300419616235e+02 1.094125486599001329e+00 4.318838747040047110e+01 4.589255720416293149e-01 3.999157162193338877e+02 3.759680340852605696e+01 3.102830370791037140e+01 1.000000000000000000e+03 1.000000000000000000e+00
3.252750930325636318e+02 1.022213934680881176e+00 4.250556595792441072e+01 2.588607051941389514e-01 2.197159245660205329e+02 1.155272390586853106e+02 1.735705019681403982e+01 1.000000000000000000e+03 1.000000000000000000e+00
3.147509044474468851e+02 1.473083724926187665e+00 4.282409535467011352e+01 3.047250246989647859e-01 2.604917011659755417e+02 5.197961042062741654e+01 1.881372992093643504e+01 1.000000000000000000e+03 1.000000000000000000e+00
3.666279724657679822e+02 3.286886317141068936e+00 4.297476027446668212e+01 2.536221554907377440e-01 2.150870302199953983e+02 1.879078032925547177e+02 2.067279370688096307e+00 1.000000000000000000e+03 1.000000000000000000e+00
4.577176544462130892e+02 2.127896299565353644e+00 4.358156992636778426e+01 4.798334016835491544e-01 4.190205323355800715e+02 1.566760548980746925e+01 4.159768835853427760e+01 1.000000000000000000e+03 1.000000000000000000e+00
3.340295955281348483e+02 3.007369308134490105e+00 4.302665336407149255e+01 3.153597888989340126e-01 2.700065481384129953e+02 7.108944580956661241e+01 1.312389628964441002e+01 1.000000000000000000e+03 1.000000000000000000e+00
7.751603679835535843e+01 2.895867903097560703e+00 4.120478846618482294e+01 4.197393512096092572e-02 3.408169888784957635e+01 6.878960710536135892e+00 3.837848728144711430e+01 1.000000000000000000e+03 1.000000000000000000e+00
3.070667591756309776e+02 3.904511863401525673e+00 4.330624359317471317e+01 3.432857662553658873e-01 2.950626508430880222e+02 1.532580111280666380e+01 7.991467468857316181e-01 1.000000000000000000e+03 1.000000000000000000e+00
3.637293827195401263e+02 2.176666774734635101e+00 4.314040901718077947e+01 3.362869022724497281e-01 2.887756074217002720e+02 9.976222964649623748e+01 3.975185598794117592e-01 1.000000000000000000e+03 1.000000000000000000e+00
9.223506122377211796e+02 1.155310693057134630e+00 4.307781838811643382e+01 4.411410543387019878e-01 3.837060883527952342e+02 7.502719986588832626e+02 2.599073840640701150e+01 1.000000000000000000e+03 1.000000000000000000e+00
2.573327073547914665e+02 1.227231864752513557e+00 4.280769934458901105e+01 2.809994626731606715e-01 2.393447419549222843e+02 8.017087381515054290e+00 1.502548663030073861e+01 1.000000000000000000e+03 1.000000000000000000e+00
2.994782695091930691e+02 1.913251973237185988e+00 4.290473659597009970e+01 2.666460259853635772e-01 2.266085993706524846e+02 6.506455185057724577e+01 2.723552624526953281e+01 1.000000000000000000e+03 1.000000000000000000e+00
2.726615018227513474e+02 1.953384130914233685e+00 4.274346390465376544e+01 2.518888384402248048e-01 2.135554342727852770e+02 5.603279993164143491e+01 1.796142631825502889e+01 1.000000000000000000e+03 1.000000000000000000e+00
2.150415560371797028e+02 1.397964178912757705e+00 4.242071386135272348e+01 1.803478147114396801e-01 1.509627436460189642e+02 2.887537932645276584e+01 4.675990684875813486e+01 1.000000000000000000e+03 1.000000000000000000e+00
2.755028402314860614e+02 1.124881127755060994e+00 4.240516981661283324e+01 2.623219224459979459e-01 2.227743300168826863e+02 1.897821547273936815e+01 4.758213890907224197e+01 1.000000000000000000e+03 1.000000000000000000e+00
2.956648436696256113e+02 1.795735432542294951e+00 4.283930657036303558e+01 2.461071677523165580e-01 2.084466266307653370e+02 1.060742235702755210e+02 2.609021840425496119e+00 1.000000000000000000e+03 1.000000000000000000e+00
2.427770484366908761e+02 2.273658066008424683e+00 4.268601041612473779e+01 2.422633023440562416e-01 2.050619018858416780e+02 3.723029251186764554e+01 9.621849990780317441e+00 1.000000000000000000e+03 1.000000000000000000e+00
1.623755901292976205e+02 1.525754421545747919e+00 4.180490547536375345e+01 1.124494482396805051e-01 9.282485376800808297e+01 3.249115540209392350e+01 4.488052288768612641e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.545126002852377951e+02 1.570505045711174219e+00 4.208838214190307525e+01 1.610673773670608933e-01 1.343137726736084403e+02 5.685333520119651318e+00 1.776686628080421571e+01 1.000000000000000000e+03 1.000000000000000000e+00
2.907916751899927590e+02 1.547373322912898752e+00 4.285898797833526430e+01 3.060905566312153159e-01 2.617134327556029803e+02 2.572828369289467432e+01 1.225053415409491109e+01 1.000000000000000000e+03 1.000000000000000000e+00
5.254183805952695963e+01 1.937327506249798548e+00 4.126977142647454855e+01 4.457774110255585676e-02 3.621935107781786911e+01 1.324852980691590076e+01 3.801576773613657423e+00 1.000000000000000000e+03 1.000000000000000000e+00
3.299443810613809092e+02 1.898900563515138362e+00 4.306940055137450685e+01 3.223865853771662460e-01 2.762933723631603016e+02 6.500807423707769317e+01 5.939299957402860208e+00 1.000000000000000000e+03 1.000000000000000000e+00
4.623953122410630954e+02 1.237464360190269508e+00 4.325696837997553246e+01 4.891509298438037057e-01 4.275345514953069141e+02 2.954063385431880207e+01 2.237230042528635821e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.849778457778630525e+02 2.230700878976565882e+00 4.256688907243108133e+01 1.818815402291880101e-01 1.522907488155642568e+02 2.471239765946600642e+01 1.391987884395651776e+01 1.000000000000000000e+03 1.000000000000000000e+00
2.290449892175985838e+02 1.149137508733359425e+01 4.342452794499576640e+01 2.004597455271991402e-01 1.684286361254090991e+02 2.286919092125991781e+01 4.989830088657671325e+01 1.000000000000000000e+03 1.000000000000000000e+00
3.657355820759876224e+02 2.101740795070824230e+00 4.302641180746697103e+01 3.508917752297274761e-01 3.019096154309623898e+02 4.867488530624273579e+01 3.754708808060880187e+01 1.000000000000000000e+03 1.000000000000000000e+00
