#DMe S logL Z DMi DMh DMs dnu thres
1.020810631293708639e+03 1.603331856084126761e+00 4.408047991930515508e+01 1.113389073143596253e+00 9.972092399918573165e+02 3.820301799292966649e+01 1.167590449538913866e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.006911908177045007e+03 1.030863189371972410e+00 4.375542015193588696e+01 9.433075063118731007e-01 8.438123515505170644e+02 2.981616279914369443e+02 1.879096467703334028e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.622774010961888962e+03 3.387812694595363272e+00 4.473766062629466234e+01 1.270359424665085779e+00 1.136463325228574831e+03 1.058220090643746971e+03 4.587995802622344854e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.215127088067835302e+03 2.358513264603382620e+00 4.438907118566240229e+01 1.190789261034192803e+00 1.066173162014444188e+03 2.805371017157248161e+02 4.578955987092590618e+01 1.000000000000000000e+03 1.000000000000000000e+00
3.317396741936574927e+02 5.809803081671803149e+00 4.361178544713743577e+01 3.456621710631828659e-01 2.971973630263809127e+02 2.868502333261169923e+01 1.779725810628576710e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.161516017121807863e+03 2.540916220822202920e+00 4.452546106968743800e+01 1.224011479750805265e+00 1.095574286095008347e+03 1.232268016670405615e+02 2.342836513120125730e+01 1.000000000000000000e+03 1.000000000000000000e+00
8.695061269228524452e+02 1.718321514975102993e+00 4.418416494674400496e+01 9.179855152989152556e-01 8.208132620481817412e+02 8.379918002829987245e+01 9.593029499725991727e+00 1.000000000000000000e+03 1.000000000000000000e+00
8.659465371217320353e+02 1.812377034671099230e+00 4.400553251360749130e+01 9.088501290872237348e-01 8.125030664740164639e+02 8.622349419113078284e+01 1.579208165363028016e+01 1.000000000000000000e+03 1.000000000000000000e+00
7.060658347100098808e+02 1.152618887071458964e+01 4.459118103751617923e+01 6.932390416661182719e-01 6.150041816367556748e+02 1.322052187525947602e+02 2.198392742969464919e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.168378780987423852e+03 2.233410745137059727e+00 4.454869956929405816e+01 1.259556587367005376e+00 1.126932856556194565e+03 5.552459113602086660e+01 3.812482043207841542e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.272303895238930636e+03 2.488620881850145850e+00 4.470647724950682544e+01 1.399773564236108658e+00 1.249439759839441422e+03 1.262988702347448111e+01 4.223886067733489114e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.755111514397845667e+03 1.269025376611293776e+00 4.457306845267728335e+01 1.918925926461599651e+00 1.684824640977619538e+03 1.711107995172989149e+02 3.405137759892387805e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.087679950053509174e+03 8.724437315879148613e+00 4.484803980839210169e+01 9.830929904059177993e-01 8.799187100990209274e+02 3.907221402661371599e+02 2.128771836565019981e+01 1.000000000000000000e+03 1.000000000000000000e+00
6.189661604468045653e+02 1.179118490311310019e+01 4.442911481344643221e+01 6.881146731252399951e-01 6.102917833051883463e+02 9.803593628384884795e+00 4.839749704599539015e+00 1.000000000000000000e+03 1.000000000000000000e+00
6.218420157323857893e+02 2.650405354510248390e+00 4.380233501835856202e+01 6.556209011380337293e-01 5.804045318110092921e+02 6.636366426930275964e+01 2.241100201499479638e+00 1.000000000000000000e+03 1.000000000000000000e+00
1.127492564433113330e+03 3.502191436720114126e+00 4.453687745727418701e+01 1.127060854496851228e+00 1.009440649299510937e+03 2.066361960530721831e+02 4.446741142599803709e+01 1.000000000000000000e+03 1.000000000000000000e+00
6.336223779851820836e+02 6.350755984228958262e+00 4.412925400048600721e+01 6.257402395285416308e-01 5.529219506108057658e+02 1.112892016668391193e+02 1.990873046283508430e+01 1.000000000000000000e+03 1.000000000000000000e+00
6.090238280768387540e+02 1.140824639718016797e+01 4.448167313915585908e+01 5.943321418348141982e-01 5.240408933130601099e+02 9.443983680801208891e+01 4.105118759333130640e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.325225588914976015e+03 1.386392282248256391e+00 4.451166525653462003e+01 1.437652873437508028e+00 1.282140427762380568e+03 8.274297743393245241e+01 2.228368945221021846e+01 1.000000000000000000e+03 1.000000000000000000e+00
9.017419456866697374e+02 9.988584215714769954e+00 4.472655323772274016e+01 9.458060544495301425e-01 8.460816964931980237e+02 8.091841051608969337e+01 2.738563935673719030e+01 1.000000000000000000e+03 1.000000000000000000e+00
2.038889089884669374e+03 1.333769571967141410e+00 4.479329784559921279e+01 2.308031401171570351e+00 1.992620912567970436e+03 1.130094474510694766e+02 4.004713598754500481e+01 1.000000000000000000e+03 1.000000000000000000e+00
