#DMe S logL Z DMi DMh DMs dnu thres
2.631774982042401803e+02 1.488933387477413994e+00 4.255042349639676758e+01 2.687648434657122776e-01 2.284886760468332341e+02 8.368770342087834990e+00 3.564318767246453490e+01 1.000000000000000000e+03 1.000000000000000000e+00
2.769251520541066611e+02 1.278630885665736905e+00 4.250555504095537174e+01 2.180556851350047287e-01 1.838006201139723714e+02 7.928892652196964264e+01 3.414193903324731139e+01 1.000000000000000000e+03 1.000000000000000000e+00
3.428696933603479238e+02 2.145274980031709688e+00 4.316875225262740656e+01 3.534468972134779952e-01 3.042138012440697139e+02 5.072535106057132026e+01 1.593346183224414458e+00 1.000000000000000000e+03 1.000000000000000000e+00
2.765542108549868772e+02 6.229663179828293984e+00 4.336788439276693197e+01 2.817277859664899520e-01 2.399910003746339839e+02 3.626305150362011176e+01 1.060103131318937386e+01 1.000000000000000000e+03 1.000000000000000000e+00
6.194155574698550026e+02 1.707245562943956019e+00 4.299898364301338916e+01 3.739646580104605267e-01 3.227246606629133225e+02 3.764378415434573526e+02 3.120496502270919237e+01 1.000000000000000000e+03 1.000000000000000000e+00
2.375989477070018836e+02 1.360265940790190919e+00 4.248688296512147389e+01 2.518169376813707006e-01 2.134919012273855969e+02 1.479512516382090226e+01 1.538248393683482362e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.508641457494291842e+02 1.818383402480479472e+00 4.206573658282008665e+01 1.093030407977388929e-01 9.016521793460985634e+01 6.559836948373953192e+01 1.735135714402008533e+00 1.000000000000000000e+03 1.000000000000000000e+00
5.187298420190652450e+02 3.592049742564123793e+00 4.341062895394857435e+01 4.070557131729038991e-01 3.527047603938353859e+02 2.214183523732468188e+02 1.218818725753062004e+01 1.000000000000000000e+03 1.000000000000000000e+00
4.979337363907030749e+02 1.424875248735285593e+00 4.305003688550366547e+01 4.305418267382298270e-01 3.740482949477864167e+02 1.326906776558230661e+02 4.453262805219886644e+01 1.000000000000000000e+03 1.000000000000000000e+00
2.377986328968084422e+02 7.653402051307899967e+00 4.276705880593098641e+01 1.386811754161456633e-01 1.151214722144943181e+02 1.146150602438912642e+02 2.507511327856152761e+01 1.000000000000000000e+03 1.000000000000000000e+00
9.172888701553199553e+02 1.001355105366575016e+00 4.309242114094157472e+01 5.271605501095432134e-01 4.623532667746894731e+02 6.508956860407804470e+02 4.386402028240003403e+01 1.000000000000000000e+03 1.000000000000000000e+00
8.140979043031502442e+02 1.517561321406130093e+00 4.284262901240452948e+01 2.977522446319531557e-01 2.542687709065446313e+02 7.132123581072110028e+02 1.330715636859503093e+01 1.000000000000000000e+03 1.000000000000000000e+00
5.067846681640323823e+02 4.758014734741682794e+00 4.374471893588869875e+01 5.060684961961545714e-01 4.430292579589308275e+02 5.176867057198343502e+01 4.425134419998283875e+01 1.000000000000000000e+03 1.000000000000000000e+00
7.158629774291144940e+02 1.393595675114938981e+00 4.327948234133111782e+01 5.519238045546299709e-01 4.850798157613041326e+02 3.396570857625779354e+02 1.850079652007656961e+01 1.000000000000000000e+03 1.000000000000000000e+00
5.453645334529267075e+02 2.159996466424942252e+00 4.295839984442666548e+01 2.751320045652463353e-01 2.341384081203808023e+02 3.585662234332221487e+02 3.828816963514174176e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.443294092451423012e+02 5.194375726428305740e+01 4.359912986490896003e+01 1.269213486436365779e-01 1.050995654158184323e+02 1.768712575795862918e+01 2.652182275726226024e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.318607791666006221e+02 1.880680863396097191e+00 4.186732885807453641e+01 8.703451196582689953e-02 7.143559485611972093e+01 1.915500276372499755e+01 4.652925797366375349e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.275006858166716256e+03 1.721553373712819912e+00 4.252155318339331558e+01 2.395363496375005896e-01 2.026623373749869472e+02 1.308809610935776391e+03 2.040040192017830734e+01 1.000000000000000000e+03 1.000000000000000000e+00
3.471540549343926614e+02 1.604290753471462105e+00 4.287799866857546505e+01 3.422346711869300728e-01 2.941184575638083061e+02 4.060112890589507373e+01 3.058508869201358493e+01 1.000000000000000000e+03 1.000000000000000000e+00
2.479487716345395825e+02 3.608320440377899896e+00 4.299886268170099868e+01 2.568526680553326891e-01 2.179415800843037800e+02 3.751474086303422695e+01 1.998778977270909696e-01 1.000000000000000000e+03 1.000000000000000000e+00
5.369803171418199099e+02 1.013914609405009770e+00 4.320655731442366942e+01 5.841174903356827208e-01 5.146533708754271856e+02 3.311668987657976260e+01 2.251816209797907753e+00 1.000000000000000000e+03 1.000000000000000000e+00
2.023680031162643616e+02 1.085293970709910960e+00 4.209417625342263847e+01 1.844077784332894820e-01 1.544781398159271930e+02 1.998120317296509896e+01 3.673992342806117506e+01 1.000000000000000000e+03 1.000000000000000000e+00
3.009842362801543914e+02 1.034551883796949179e+00 4.248562979815974217e+01 2.909199079881089611e-01 2.481809940368108016e+02 6.459381447114793673e+01 3.570942147103001396e+00 1.000000000000000000e+03 1.000000000000000000e+00
