#DMe S logL Z DMi DMh DMs dnu thres
8.334731942831305105e+02 2.348449771624342652e+00 4.395711010977775146e+01 7.910270404713528603e-01 7.048139161573292313e+02 1.902819726885103364e+02 4.015027344232422735e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.575081795504119100e+03 2.644396104204672415e+00 4.447123271329833472e+01 1.218705760792420545e+00 1.090893479847345816e+03 1.055933528591248887e+03 1.833787666481287459e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.004407328147564044e+03 1.252652245534771058e+00 4.420042041929931287e+01 1.063068997145071526e+00 9.520605145723264968e+02 8.432263782312402611e+01 2.367245036328130681e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.121765432280991263e+03 1.084761287810154240e+00 4.412810839457156931e+01 1.215230718842963409e+00 1.087827731699829656e+03 6.402596551974008321e+01 1.115387133454363067e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.084254891533243608e+03 3.752358350806856535e+00 4.451680617015983898e+01 1.130099172210177638e+00 1.012145430537094626e+03 1.319837577117197611e+02 2.161654546469915417e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.027661216243260242e+03 1.839867614069653490e+00 4.411469776791531672e+01 1.066712623078148070e+00 9.553296882275645885e+02 1.333606070551819300e+02 1.612787494138722622e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.317974655685924063e+03 1.125921203900779544e+00 4.428085302224062758e+01 1.289465213120263964e+00 1.153307889436964615e+03 3.658292627798105059e+02 1.116957030418828012e+01 1.000000000000000000e+03 1.000000000000000000e+00
2.560837855585941725e+03 1.944046191578744143e+00 4.463388869036757001e+01 1.623364513483011251e+00 1.440443470813836939e+03 2.928948169576293822e+03 1.025470054047727331e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.670420241368543884e+03 1.959875544877159426e+00 4.474059140165502413e+01 1.842921624205552167e+00 1.622895131997359840e+03 9.704994356661200072e+01 3.806021755746085944e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.236660075361786312e+03 2.397125574348399013e+00 4.451039662592359036e+01 1.329507961251159109e+00 1.188274471662894939e+03 7.934915396689237355e+01 3.336549505961857420e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.152505120483737301e+03 1.041036609908415844e+00 4.401380540801296348e+01 1.262804076086893712e+00 1.129797852913615088e+03 1.350859016555125613e+01 3.787350744891693211e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.105225862578983879e+03 1.757413323212239087e+00 4.421137315556604364e+01 1.196365600778898752e+00 1.071137349613956076e+03 5.571596059686009283e+01 1.915487666123245702e+01 1.000000000000000000e+03 1.000000000000000000e+00
6.842035498643582514e+02 3.465972762560386222e+00 4.407930069567070319e+01 7.288943751522823922e-01 6.477762461893038335e+02 5.712044596544011199e+01 5.858514460325597639e+00 1.000000000000000000e+03 1.000000000000000000e+00
1.807092017260179546e+03 1.333890278730219814e+00 4.467030577459061647e+01 1.989895713054817161e+00 1.742091618449015186e+03 1.703467780175737687e+02 2.399763573478000822e+01 1.000000000000000000e+03 1.000000000000000000e+00
5.285764978482425249e+02 1.485309261239997269e+01 4.436866770472369836e+01 5.794846397591149056e-01 5.103956643113384644e+02 1.785983304791186299e+01 1.085651426164547750e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.031412675488443256e+03 3.422398409302423783e+00 4.454689905110515724e+01 1.039796492500399294e+00 9.311356383780361057e+02 2.022942153988870189e+02 2.250533177253899453e+00 1.000000000000000000e+03 1.000000000000000000e+00
7.820632104863764198e+02 1.730492261188801839e+00 4.411481083628675037e+01 8.619931252802371935e-01 7.697541191507353915e+02 1.935636010811597529e+01 3.563083337294087549e+00 1.000000000000000000e+03 1.000000000000000000e+00
1.586242925620328151e+03 5.667482170321687995e+00 4.450272202718664971e+01 9.416728515983694425e-01 8.423276511554317949e+02 1.438923248596483745e+03 5.516843721355380481e+00 1.000000000000000000e+03 1.000000000000000000e+00
2.132446595021124267e+03 1.491887664748543729e+00 4.492029094439659787e+01 2.457311379649764316e+00 2.106818848964476729e+03 5.829340683155991343e+01 3.030969124486184185e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.238699084009687795e+03 1.396720656603491539e+00 4.437690794434972474e+01 1.346852321287841825e+00 1.203420110253840676e+03 4.483426957241344724e+01 3.796027187914938139e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.207349864793801089e+03 3.463430761895275101e+00 4.444155798266842083e+01 1.125995500421320461e+00 1.008492246272980879e+03 4.226053985202908621e+02 1.650036794725251443e-01 1.000000000000000000e+03 1.000000000000000000e+00
1.753466140172524774e+03 2.108493844807036055e+00 4.465493807678858929e+01 1.697189518909163031e+00 1.502506670373181578e+03 6.710324155982511911e+02 5.852836015538104064e+00 1.000000000000000000e+03 1.000000000000000000e+00
1.167657953669267727e+03 1.899193143618083557e+00 4.424305365088288511e+01 1.196707848697561305e+00 1.071442026687370799e+03 1.673068013070281097e+02 4.405148066381621419e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.135625992818326949e+03 2.259726393815549184e+00 4.461062074858443793e+01 1.240616957605774839e+00 1.110223954707051234e+03 4.895873721901306652e+01 7.957500130859224363e+00 1.000000000000000000e+03 1.000000000000000000e+00
6.061017403973309001e+02 8.550423072101294153e+00 4.432479921480636165e+01 6.425449210596861915e-01 5.683776377599241414e+02 5.350573973514591586e+01 8.457793453460821453e+00 1.000000000000000000e+03 1.000000000000000000e+00
1.279446413127177266e+03 1.914466358049591976e+00 4.449431953348117474e+01 1.360867598847888660e+00 1.215658689724476517e+03 1.161570289962225360e+02 3.443734038948467457e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.247975992297027233e+03 1.271117120652836441e+00 4.438340037783125069e+01 1.371463376093666309e+00 1.224911254386147903e+03 3.279060094080220011e+01 2.190658029404723806e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.686671362696535880e+03 1.322092993352447232e+00 4.452284799338157484e+01 1.760162168347632949e+00 1.554669067225928302e+03 3.181972842916190984e+02 4.615045780139826803e+01 1.000000000000000000e+03 1.000000000000000000e+00
7.223613461921082717e+02 5.617113150900594043e+00 4.403782541467555234e+01 6.404161209746086492e-01 5.664197269207929821e+02 2.402786314340305864e+02 1.553051474951975841e+01 1.000000000000000000e+03 1.000000000000000000e+00
6.696267173696405735e+02 2.062485048975108981e+01 4.458910951737387052e+01 5.811358756472162490e-01 5.119131917522593653e+02 2.251120080474395593e+02 2.425450538100812992e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.313891443773975197e+03 1.878268164974413068e+00 4.465559300871898074e+01 1.432787606170910610e+00 1.277940311852255491e+03 8.034411792119969675e+01 7.117350245775333484e+00 1.000000000000000000e+03 1.000000000000000000e+00
1.692998426413895913e+03 1.433843760613991103e+00 4.473550257068096414e+01 1.714154577185972306e+00 1.516569077624580814e+03 4.405996668836960453e+02 3.825685768276396459e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.019078918354899315e+03 2.087820302956704399e+00 4.431328189450486832e+01 1.112799805832845657e+00 9.966805311716923370e+02 1.181539920624770978e+01 3.550790888540089441e+01 1.000000000000000000e+03 1.000000000000000000e+00
