#DMe S logL Z DMi DMh DMs dnu thres
3.385355026152707524e+03 2.399250481264466384e+00 4.324531375934510180e+01 4.302769033012476818e-01 3.738069022804184556e+02 4.304582613555058742e+03 2.765111199680814202e+00 1.000000000000000000e+03 1.000000000000000000e+00
2.642428071110455789e+02 8.166681782854674054e+00 4.287167653579907522e+01 1.604198938122262108e-01 1.337573252525611451e+02 1.382931147924978461e+02 1.312483420976181492e+01 1.000000000000000000e+03 1.000000000000000000e+00
2.526401961072264726e+02 1.274074214884416190e+00 4.246539636007192797e+01 2.565544001625830184e-01 2.176780242071011457e+02 3.026712532210522255e+01 1.366474561823786615e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.879311149967141716e+02 2.113693100826073845e+01 4.327433867637081022e+01 1.718051360309702513e-01 1.435724008273563470e+02 1.100330574983103382e+01 4.097646334155224679e+01 1.000000000000000000e+03 1.000000000000000000e+00
3.958860130142612093e+02 2.051632659899068845e+00 4.329162484870946059e+01 3.720242247098767274e-01 3.209683027595843328e+02 6.575514885516882657e+01 3.703376447404340155e+01 1.000000000000000000e+03 1.000000000000000000e+00
3.010964950395334654e+02 4.152455641486982429e+00 4.297860957145213945e+01 2.578712185050312522e-01 2.188415930048053895e+02 6.950709714100469228e+01 3.395897670943065805e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.969420979022967231e+02 2.460325160171802583e+00 4.265954182364529856e+01 2.221098730876346350e-01 1.873533554129199672e+02 1.065236790028094305e+01 1.066128966481311169e+00 1.000000000000000000e+03 1.000000000000000000e+00
1.358599246068191349e+02 2.561825812875671460e+00 4.214694187087627597e+01 1.165521112425196293e-01 9.629728203718491386e+01 2.890705479896086771e+01 1.526669728849741148e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.015055993105611833e+03 1.047016444511162270e+00 4.284562488592011675e+01 3.954369278049599812e-01 3.421600057194203259e+02 9.029157066097243387e+02 3.606820276074794407e+01 1.000000000000000000e+03 1.000000000000000000e+00
5.127731932925987621e+02 1.437440947247077938e+00 4.301429043843860001e+01 4.174908724679951000e-01 3.621828499947565092e+02 1.721735022223102476e+02 4.128693488420304902e+01 1.000000000000000000e+03 1.000000000000000000e+00
4.018147061429590963e+02 1.948131402829501591e+00 4.318413499634266373e+01 4.211378261594989070e-01 3.654953201622932397e+02 2.498400805467718655e+01 2.663084518533404577e+01 1.000000000000000000e+03 1.000000000000000000e+00
3.186819483552376937e+02 2.554746894706139138e+00 4.317268025413869026e+01 3.342864392956274022e-01 2.869786018463867663e+02 9.846866962306664917e+00 3.245447836474351533e+01 1.000000000000000000e+03 1.000000000000000000e+00
2.800894205552310723e+02 3.524216768681553091e+00 4.285761977918541277e+01 2.255044222181817881e-01 1.903280410123588808e+02 6.491392421469205942e+01 4.508904335950246889e+01 1.000000000000000000e+03 1.000000000000000000e+00
5.069126996351608341e+02 1.696036930402850640e+00 4.343476976445248283e+01 5.158033945465962944e-01 4.519461976503187657e+02 4.021802356685014246e+01 4.310038672812565608e+01 1.000000000000000000e+03 1.000000000000000000e+00
2.394553000708282582e+02 1.058336680919959472e+00 4.219948500637113398e+01 1.916254542245280357e-01 1.607460759207192496e+02 4.897060771806660995e+01 4.482130726146721145e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.591615389425238391e+03 1.334931013912255215e+00 4.283013192307673478e+01 3.481400470323179341e-01 2.994281319188947350e+02 1.709187136672327597e+03 3.286225343683677380e+01 1.000000000000000000e+03 1.000000000000000000e+00
3.258633102354018547e+02 1.711279975292365529e+00 4.260913000407418849e+01 2.425149858486822518e-01 2.052833691684300845e+02 1.399424558062849826e+02 9.879927962178358669e+00 1.000000000000000000e+03 1.000000000000000000e+00
1.714560166451592522e+02 1.077698352235715751e+00 4.210817904126835742e+01 1.505019813567524123e-01 1.252364871228462420e+02 1.707206467137656958e+01 3.610359562142147638e+01 1.000000000000000000e+03 1.000000000000000000e+00
3.287431283365696117e+02 3.359869414471328142e+00 4.336706300328540920e+01 3.359028488266305734e-01 2.884306141919570905e+02 1.175989934515941293e+01 4.209370314399227908e+01 1.000000000000000000e+03 1.000000000000000000e+00
4.952620429323387157e+02 3.247117205026021303e+00 4.252367364142313733e+01 1.389205403862479038e-01 1.153257444988921634e+02 4.205022494983942920e+02 1.221500482577736513e+01 1.000000000000000000e+03 1.000000000000000000e+00
2.932817480010145346e+02 1.802687300670042791e+00 4.298898512032508989e+01 3.193455755904567317e-01 2.735726027985367068e+02 1.988156167600685720e+01 6.121611845552143549e+00 1.000000000000000000e+03 1.000000000000000000e+00
1.341567523894211718e+02 4.489293270228782440e+00 4.248852391645540649e+01 1.335120149402053702e-01 1.107101491274589478e+02 2.323156875073267713e+01 3.345437756237718219e+00 1.000000000000000000e+03 1.000000000000000000e+00
3.069350443247582234e+02 1.549732087896950716e+00 4.246175303936862377e+01 2.028256283530327497e-01 1.704934521316420444e+02 1.325263524748361590e+02 3.158909138833705299e+01 1.000000000000000000e+03 1.000000000000000000e+00
4.155946574579321577e+02 2.525794915739609792e+00 4.328584075326754288e+01 3.984097117265347210e-01 3.448517344762598213e+02 6.630909698229463345e+01 3.261849355119819194e+01 1.000000000000000000e+03 1.000000000000000000e+00
