#DMe S logL Z DMi DMh DMs dnu thres
1.307050611068933222e+03 1.549814879383261346e+00 4.428075628577489198e+01 1.341157044857083758e+00 1.198446816438827682e+03 2.120312718901159315e+02 4.222726700636778929e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.220717662168745619e+03 1.736055752219863413e+00 4.431328330944396043e+01 1.198296821490248742e+00 1.072856567299052358e+03 2.802606646104159722e+02 4.478191026369896122e+01 1.000000000000000000e+03 1.000000000000000000e+00
3.958190624029217361e+03 1.799883885531344774e+01 4.445846273527262582e+01 5.884617966253350430e-01 5.186458979600299699e+02 5.457179555611702199e+03 6.405839533355905502e+00 1.000000000000000000e+03 1.000000000000000000e+00
1.002710001415959482e+03 6.000538156099266551e+00 4.446354327163635389e+01 8.255501237014334359e-01 7.364259417773553196e+02 4.626720830230013348e+02 2.344281498997233726e+01 1.000000000000000000e+03 1.000000000000000000e+00
2.532254298325762647e+03 2.379213326044418153e+00 4.453145815806992402e+01 1.285467271145559476e+00 1.149791754937950827e+03 3.117842999030331612e+03 4.172989746715995096e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.339349835822600198e+03 1.898345559925155523e+00 4.442479590877995577e+01 1.402181908747230255e+00 1.251518849341403893e+03 1.700836566187286962e+02 4.090235013382380203e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.281362620255290494e+03 3.270871474554458480e+00 4.466229665879770039e+01 1.410153354031770334e+00 1.258400484477083410e+03 2.633417367283966470e+01 2.900809488873927933e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.169776782859471723e+03 2.159217521721355482e+01 4.421664540211523331e+01 4.304355936923204284e-01 3.739514976292600181e+02 1.126323281779727495e+03 1.205353257391051969e+01 1.000000000000000000e+03 1.000000000000000000e+00
2.084624555397451786e+03 1.045989936802084186e+00 4.451550027046446445e+01 2.010456751466580538e+00 1.758557422342035807e+03 9.616396392001614686e+02 1.997136293786699213e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.953135302767838766e+03 2.838833426328899456e+00 4.467675332301296010e+01 1.194194135307920401e+00 1.069204260444840884e+03 1.909299443945659050e+03 3.021686513608015190e+01 1.000000000000000000e+03 1.000000000000000000e+00
2.938367321958112370e+03 1.263463382990933859e+00 4.416620364070256244e+01 1.131607204639667241e+00 1.013487916151110426e+03 4.055149855597069291e+03 4.793695388365819809e+01 1.000000000000000000e+03 1.000000000000000000e+00
8.088396823033577903e+02 2.107810641968320908e+00 4.400658380779077561e+01 8.406582335014169960e-01 7.502568517838753905e+02 8.066893133953223582e+01 2.716203799797114371e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.310418032463676809e+03 1.687387889224407633e+00 4.451586732576314631e+01 1.380512596215726084e+00 1.232812040580885878e+03 1.612148336752569264e+02 2.352720754354241706e+01 1.000000000000000000e+03 1.000000000000000000e+00
5.911787727506226702e+02 4.021346702761968039e+00 4.395669333276786972e+01 6.037943067247985018e-01 5.327377256981468463e+02 5.083937380429959063e+01 4.288804473749729596e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.032719686268329042e+03 2.492480119174421471e+00 4.436189967834483383e+01 1.122493113096883377e+00 1.005374339452263257e+03 3.044198435871907904e+01 2.759832593362641262e+01 1.000000000000000000e+03 1.000000000000000000e+00
