#DMe S logL Z DMi DMh DMs dnu thres
5.350928143006492519e+02 1.183406920092634262e+00 4.297735015053650187e+01 4.185610747142038957e-01 3.631548977128441038e+02 2.359580111635052049e+02 7.946424575412858182e+00 1.000000000000000000e+03 1.000000000000000000e+00
1.161533174156085551e+02 4.253857035139168019e+00 4.244893819603849749e+01 1.235693425727019124e-01 1.022484490089817086e+02 1.179062698354270822e+01 3.832456870650946534e+00 1.000000000000000000e+03 1.000000000000000000e+00
4.154270316024957310e+02 5.782468980681953141e+00 4.289944967869919878e+01 2.022292465487761648e-01 1.699729619865643144e+02 2.468533245377914227e+02 4.823873663890059049e+01 1.000000000000000000e+03 1.000000000000000000e+00
2.447241496330178165e+02 1.914362637795532285e+00 4.268791397554033296e+01 2.599416256695482597e-01 2.206710489726623337e+02 1.385115994349063939e+01 1.645434280491092238e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.764492809279315679e+02 1.146563574300099253e+00 4.190474079921918360e+01 1.180651665192341548e-01 9.758015674966272002e+01 6.844584484360332510e+01 1.973497561399900135e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.288526970896581361e+02 5.128309433165178177e+00 4.185974744754136623e+01 5.703045779914917013e-02 4.647887850750839078e+01 6.861364405212727036e+01 1.845799111442655160e+01 1.000000000000000000e+03 1.000000000000000000e+00
2.521495283665727811e+02 1.241518601577760839e+00 4.229237668105685088e+01 2.119082516999742927e-01 1.784202800626669330e+02 7.133437610373455584e+01 1.801870830740529073e+01 1.000000000000000000e+03 1.000000000000000000e+00
3.897945457664965829e+02 1.253160563273376216e+00 4.299137346257855086e+01 4.046287384088497197e-01 3.505003777272764864e+02 1.537986790831816286e+01 3.981384977143689952e+01 1.000000000000000000e+03 1.000000000000000000e+00
2.118035823853014676e+02 1.660670832790633433e+00 4.222561910515550920e+01 1.813755775258366620e-01 1.518526514651113075e+02 3.793805968412502239e+01 3.288650595492617867e+01 1.000000000000000000e+03 1.000000000000000000e+00
2.608181895874860174e+02 2.578180481234340515e+00 4.267248074971969629e+01 2.322383473572823265e-01 1.962405071651525645e+02 3.305909729238790362e+01 4.651599937187167200e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.569638836440428804e+02 2.824108258807156435e+00 4.207116915789781331e+01 1.024008168425193377e-01 8.434248684830765797e+01 6.328224924526199402e+01 1.677563790260122545e+01 1.000000000000000000e+03 1.000000000000000000e+00
3.530661443713597691e+02 1.196731821271658891e+00 4.288734779463558766e+01 3.464937741366169721e-01 2.979443877785123505e+02 7.067565310055550754e+01 3.545448971187592502e+00 1.000000000000000000e+03 1.000000000000000000e+00
5.017959074465881031e+02 1.133655683036440598e+00 4.323789125409258816e+01 5.202932853036473793e-01 4.560588327966043494e+02 2.703184498019138360e+01 4.250192249961061464e+01 1.000000000000000000e+03 1.000000000000000000e+00
2.097988427564746985e+02 1.017256015578153816e+00 4.240037649832642330e+01 2.075531692828626040e-01 1.746193970328205864e+02 2.750217909109265335e+01 1.497887208612031529e+01 1.000000000000000000e+03 1.000000000000000000e+00
3.738877477464769186e+02 1.323000278782946681e+00 4.299083172868219549e+01 3.388296274619314596e-01 2.910597243460967434e+02 1.082191923160467013e+02 2.673419396492410449e+00 1.000000000000000000e+03 1.000000000000000000e+00
4.195343906327562422e+02 1.008338434453460497e+00 4.310708632783520500e+01 4.375210066726887836e-01 3.804075770090930178e+02 2.009615672724950386e+01 3.614945978093352608e+01 1.000000000000000000e+03 1.000000000000000000e+00
2.009575940629934223e+02 3.061726064903931732e+00 4.259811553644124871e+01 1.887923188115792072e-01 1.582833412500505972e+02 2.006517020469699730e+01 3.066565375035285612e+01 1.000000000000000000e+03 1.000000000000000000e+00
2.685589253664310831e+02 1.521203435672554116e+00 4.252926261517008300e+01 2.169583340336895816e-01 1.828389977031385740e+02 6.860770030567786648e+01 3.570988005693095602e+01 1.000000000000000000e+03 1.000000000000000000e+00
4.105425517385295393e+02 1.161313264775559961e+00 4.302393626752078148e+01 4.465342001791428039e-01 3.886202094843896475e+02 1.996718106184296815e+01 1.174423675680269596e+01 1.000000000000000000e+03 1.000000000000000000e+00
4.058476527706763477e+02 1.565307871932932748e+00 4.261024959922289668e+01 2.746578684062019882e-01 2.337176959343522071e+02 1.782533128370846498e+02 4.115349103275583076e+01 1.000000000000000000e+03 1.000000000000000000e+00
4.205544082926120950e+02 1.711744433740130855e+00 4.327764342411690279e+01 4.155243908975615463e-01 3.603967259887820660e+02 6.910451790977103315e+01 1.605014869116697795e+01 1.000000000000000000e+03 1.000000000000000000e+00
3.307848921569387244e+02 1.825792093791117621e+00 4.297125010975994996e+01 3.339936150164966033e-01 2.867155593065938319e+02 1.862272437643917655e+01 4.016548426395764437e+01 1.000000000000000000e+03 1.000000000000000000e+00
5.866394635721289887e+02 1.092085021484766161e+00 4.311744207956560615e+01 4.475179217902418571e-01 3.895165559396365325e+02 2.818526155114305425e+02 3.486326082004853610e+00 1.000000000000000000e+03 1.000000000000000000e+00
4.558077475967930354e+02 3.196878910726176581e+00 4.343130193907673231e+01 4.486116904564644292e-01 3.905131749584392651e+02 7.664039748507860850e+01 1.794608376219945001e+01 1.000000000000000000e+03 1.000000000000000000e+00
6.499656272253967018e+02 1.328130094432387720e+00 4.340221764414381056e+01 6.362888033216930195e-01 5.626237293417688079e+02 1.318560114744694260e+02 1.106055809337752649e+01 1.000000000000000000e+03 1.000000000000000000e+00
2.302906299002094102e+02 3.361822993376415880e+00 4.275798837863649027e+01 2.288932360305002689e-01 1.932977006811404408e+02 1.781584474517015693e+01 2.764451575309875864e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.984262824144559829e+02 1.039211753523035187e+00 4.219438291209734615e+01 1.993437567500593310e-01 1.674552967865693347e+02 2.138585318522681078e+01 1.575900506797485079e+01 1.000000000000000000e+03 1.000000000000000000e+00
5.712554344026915487e+02 2.356527405413626486e+00 4.313154360665939180e+01 3.234682889720967847e-01 2.772611647826037711e+02 3.492919552765700359e+02 3.980013770512885429e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.381394621539868695e+02 3.123660185440638060e+01 4.281314796985157045e+01 6.490082318413403772e-02 5.299385009401992619e+01 4.942824992279042817e+01 4.124338245038530459e+01 1.000000000000000000e+03 1.000000000000000000e+00
3.070710472548018970e+02 1.379446538803845934e+00 4.290581050895865900e+01 3.443401363259002146e-01 2.960097860398631155e+02 1.192018703511601529e+01 2.949910374511205191e+00 1.000000000000000000e+03 1.000000000000000000e+00
4.023968827293907680e+02 2.654950479538677133e+00 4.344066782605294463e+01 4.264994857479154078e-01 3.703652304867628118e+02 1.979176431089777211e+01 2.590137114086708436e+01 1.000000000000000000e+03 1.000000000000000000e+00
4.782891024581923602e+02 1.162951603885171492e+00 4.227381976854403689e+01 2.179750626159469018e-01 1.837299695983343497e+02 3.175076156327121453e+02 4.125806265637235981e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.471183222858841759e+02 1.365964031502399756e+01 4.272874868904372647e+01 9.144371018866481737e-02 7.513160716150774476e+01 4.004149456444105226e+01 3.852795287520282841e+01 1.000000000000000000e+03 1.000000000000000000e+00
2.802618838763732469e+02 1.086798424099671534e+00 4.283292098455277852e+01 3.116835351396192166e-01 2.667174303644778774e+02 9.874842605442594845e+00 7.891194058574563464e+00 1.000000000000000000e+03 1.000000000000000000e+00
6.769378196367147211e+02 1.223773174161751465e+00 4.344690101291405426e+01 6.944783025822156564e-01 6.161432297052740523e+02 7.529602870605125986e+01 2.771908484715822141e+01 1.000000000000000000e+03 1.000000000000000000e+00
3.061722679959250968e+02 2.098084819155078051e+00 4.270694422122257805e+01 2.701555761875092943e-01 2.297227059608311208e+02 5.761548935135896699e+01 3.948734816460857644e+01 1.000000000000000000e+03 1.000000000000000000e+00
2.618131268690648312e+02 4.257155587516392892e+00 4.282265182225312117e+01 1.833668871377732712e-01 1.535768644538209458e+02 8.873186242822833947e+01 3.935134650152602376e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.294581509717419863e+02 2.622593432595411667e+00 4.215938824004942376e+01 1.040176334095513910e-01 8.570519915209811757e+01 1.096100104519358887e+01 3.734302927741177314e+01 1.000000000000000000e+03 1.000000000000000000e+00
2.872999017157532080e+02 3.201198980800761706e+00 4.302556308903577076e+01 3.089409821685114022e-01 2.642636879642495842e+02 2.394002250326032311e+01 6.213021750076574534e+00 1.000000000000000000e+03 1.000000000000000000e+00
