#DMe S logL Z DMi DMh DMs dnu thres
1.124430015762294033e+03 2.840253848417005678e+00 4.455262001239860581e+01 1.194845126640017741e+00 1.069783788100280844e+03 9.597860728354736182e+01 2.396139918968305338e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.560978590211699839e+03 1.839530961664912034e+00 4.474845535321767898e+01 1.735803333939251347e+00 1.534496932275431845e+03 4.661961235577124540e+01 2.582899571450965581e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.239691642116819139e+03 3.098675908587844141e+00 4.473617607716769129e+01 1.364954038564079930e+00 1.219227096914723006e+03 2.661075598418491595e+01 2.178695283888959011e+01 1.000000000000000000e+03 1.000000000000000000e+00
5.845503421929781780e+02 3.547937920250015420e+00 4.381875151189584017e+01 6.155656296327824961e-01 5.435641066598964244e+02 4.690778663215339606e+01 1.930816678312725543e+01 1.000000000000000000e+03 1.000000000000000000e+00
2.349344940669432162e+02 4.111899173008905564e+02 4.497423259848379473e+01 2.157359290371956284e-01 1.817677890094624615e+02 4.128049516068420388e+01 2.335617840621874564e+01 1.000000000000000000e+03 1.000000000000000000e+00
4.954359613259300090e+02 6.152785789214574308e+00 4.401892150898215306e+01 5.228585694691519903e-01 4.584085732224034473e+02 4.866521711922205640e+01 7.722258159293504676e+00 1.000000000000000000e+03 1.000000000000000000e+00
7.104427294761519533e+02 8.726332777121140083e+00 4.457854772955380440e+01 7.541741996620234811e-01 6.709935405438533280e+02 4.279768017737148966e+01 2.640306924525942378e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.294446095423604675e+03 2.228664350453900322e+00 4.474682274813557825e+01 1.410029761587875186e+00 1.258293788881234377e+03 3.746038203697369084e+01 4.966775268018700018e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.676929819018049784e+03 2.139043426022018135e+00 4.467598769183361185e+01 1.580444757043366621e+00 1.404309471075754345e+03 6.632329613013301923e+02 4.024878620970410736e+01 1.000000000000000000e+03 1.000000000000000000e+00
1.499816823478469132e+03 3.489025782505067230e+00 4.479587700429782160e+01 1.585718517192234112e+00 1.408795237712899279e+03 2.055832310765467525e+02 2.977296870168813925e+01 1.000000000000000000e+03 1.000000000000000000e+00
9.380093624801187389e+02 1.512750591021509106e+00 4.422231183005764876e+01 1.018099652539661282e+00 9.115381628235494418e+02 8.346163468696264687e+00 4.507535536053421055e+01 1.000000000000000000e+03 1.000000000000000000e+00
